,0
107498,1
107929,1
107951,1
107958,1
108719,3
108838,1
108879,1
110094,1
110220,1
110889,2
113255,2
115551,1
115940,2
118178,2
118527,1
118528,4
118529,1
118586,7
119219,7
120844,2
121674,2
123273,1
125407,15
125723,1
125943,2
126254,1
126296,1
126325,1
127151,1
128177,2
130415,2
133101,2
133157,45
1408,1
1409,1
1418,1
1419,2
1466,1
2153,17
4571,2
9979,2
15606,2
19213,2
26473,1
76039,1
97109,10
97363,2
99752,3
99753,1
99754,3
99758,1
99759,2
99777,8
99813,13
99814,14
99815,1
100112,16
100113,4
100524,5
100525,2
100526,1
101895,1
102274,6
107453,1
107476,1
107485,1
107486,1
107516,1
107535,1
107546,1
107702,1
107915,1
107916,1
107918,1
107919,3
107929,1
107951,1
107953,1
108207,1
108330,2
108348,1
108520,1
108584,1
108646,1
108662,1
108664,1
108666,1
108674,1
108675,3
108704,1
108799,1
108802,1
109080,1
109228,3
109229,1
109231,1
109337,1
109458,1
109674,1
109716,2
110034,1
110126,2
110135,1
110156,1
110731,1
110828,1
111008,1
111017,1
111047,1
111240,1
111455,1
111496,1
111747,1
111894,1
111904,1
112344,1
112359,1
112386,1
112765,1
112826,1
113181,3
113736,1
114122,1
114166,1
114575,1
114616,1
115021,1
115463,1
115507,1
115859,1
116531,1
116723,192
117101,1
117509,1
117548,1
117551,1
117901,1
118248,6
118305,7
118938,1
118939,5
119767,1
120568,2
121063,1
121110,1
121387,2
121551,1
121554,1
122442,1
122992,1
124943,1
125004,2
125118,15
125371,1
125399,1
125431,1
125433,2
125511,1
125655,1
125942,1
125956,1
125963,1
126066,1
126385,1
126400,1
126402,1
126444,1
126701,2
126827,1
126887,1
126888,2
127879,2
127974,1
130117,1
131185,1
131228,1
131764,1
131806,1
132213,1
132218,1
132382,1
132509,1
132795,2
132845,46
132972,1
23452,1
41165,1
99794,15
99795,2
99797,1
99813,7
99850,1
99851,25
100149,22
100559,11
100560,2
102306,6
108720,1
109106,1
111471,3
113710,1
116396,2
118548,6
118606,6
118622,1
119239,6
121317,2
123796,2
125431,12
126406,2
128773,2
133190,45
75635,1
75636,1
76066,5
99786,20
99806,7
99840,32
100133,25
100542,17
102286,6
102302,1
107364,1
107480,1
107483,1
107484,1
107549,1
107929,2
107931,3
107932,2
107934,1
108364,1
108365,3
108371,3
108600,1
108613,1
108621,2
108622,1
108658,1
108675,1
108676,2
108680,1
108794,1
108801,1
108804,2
108805,1
109054,2
109238,3
109241,1
109282,1
109410,1
109683,1
109685,1
109687,1
109690,1
110145,1
110570,3
111408,1
111910,1
112820,1
113314,1
113642,2
115942,1
115947,1
116326,2
116387,1
117299,1
118470,8
118528,6
118550,1
119160,7
121233,2
123722,3
125350,13
125626,1
126201,2
126267,1
126326,2
126636,1
126638,1
128691,2
129039,1
132457,1
133100,46
8911,1
8915,1
12455,1
23422,1
25226,4
28868,1
46508,6
76056,2
99779,16
99800,7
99838,27
100134,5
100135,8
100136,8
100545,1
100547,10
100549,2
102293,6
102312,1
107502,1
107951,1
108389,1
108836,1
108842,1
109095,3
109272,1
109274,2
109276,1
109280,1
109282,1
109715,1
109759,1
110159,1
110161,1
110165,1
110612,1
111449,2
111562,1
111992,1
112851,1
112950,1
113684,1
115157,1
116369,2
116870,1
118511,6
118568,7
118594,2
119201,5
121269,2
123768,3
125391,13
125676,1
126301,1
126375,1
127141,1
128741,2
133148,45
15515,2
18662,1
99790,20
99806,2
99807,8
99851,20
100150,1
100152,5
100163,2
100576,1
100580,2
100581,2
100583,1
102327,6
102344,1
107525,1
107976,1
108432,1
108870,1
109136,1
109318,1
109807,1
110653,1
111995,1
113740,1
115218,2
116425,1
118562,7
118619,1
118620,5
118652,1
119254,5
121317,3
123825,2
125286,1
125444,12
125698,1
125721,1
126362,1
126431,2
126718,1
128796,1
132116,1
133200,44
0,448
6173,1
6174,7
8500,1
8502,1
10037,1
10931,1
12966,6
13613,1
13867,1
14460,7
15204,1
15779,1
16100,2
16101,3
16221,1
16223,2
16224,1
16726,2
16727,1
18173,1
18837,1
19411,1
21202,1
23889,1
25616,1
25679,1
26511,1
31435,2
31820,1
31880,2
32009,1
34568,1
60869,1
64419,1
75062,2
99290,24
99291,4
99295,9
99321,6
99322,1
99327,26
99389,1
99624,1
99625,19
100030,13
100031,3
100033,2
101777,6
106847,3
106889,2
106890,2
106913,2
106918,1
106943,1
106946,4
106958,2
106959,1
106961,1
106964,2
106968,1
106973,1
106976,1
106990,2
106991,4
106992,3
107047,2
107048,1
107052,1
107106,1
107111,1
107112,1
107168,1
107173,3
107186,1
107194,1
107195,1
107201,1
107223,1
107224,1
107225,1
107227,3
107254,1
107281,1
107282,1
107285,3
107294,1
107296,1
107302,1
107313,1
107320,1
107335,1
107336,3
107337,1
107338,1
107345,1
107348,1
107350,1
107353,2
107354,1
107355,2
107356,1
107357,1
107358,1
107377,1
107379,6
107381,3
107406,1
107411,1
107435,1
107437,1
107439,1
107497,1
107501,1
107519,1
107555,1
107556,1
107557,1
107559,3
107617,1
107619,1
107620,1
107633,1
107636,1
107673,1
107674,3
107675,2
107690,1
107692,1
107729,3
107730,1
107731,2
107745,4
107749,1
107753,2
107759,1
107761,1
107775,4
107776,3
107777,3
107835,1
107837,1
107838,1
107865,1
107900,1
107914,1
107954,1
107961,1
107978,1
107985,1
107997,1
108002,1
108010,1
108017,3
108025,2
108027,3
108029,2
108032,1
108035,2
108038,1
108045,1
108059,1
108062,1
108063,1
108064,2
108081,1
108086,1
108120,2
108121,3
108127,1
108129,1
108130,2
108134,1
108138,2
108141,1
108143,1
108146,1
108154,1
108162,2
108163,1
108165,1
108166,1
108167,2
108182,1
108183,1
108223,1
108224,1
108225,1
108251,1
108287,1
108307,1
108345,1
108346,4
108400,1
108407,2
108467,1
108468,1
108484,1
108521,1
108526,2
108527,2
108538,1
108539,3
108540,2
108542,1
108545,1
108548,1
108572,4
108573,3
108574,1
108598,1
108603,1
108626,1
108627,1
108630,1
108632,1
108694,2
108709,2
108748,1
108753,2
108812,1
108814,2
108870,1
108871,1
108874,2
108886,1
108929,2
108933,2
108942,1
108946,2
108950,1
108951,3
108952,1
108954,1
108976,1
108977,2
108978,2
108980,3
109042,2
109102,1
109103,2
109157,1
109161,1
109163,2
109225,2
109239,1
109243,1
109277,1
109282,1
109283,2
109339,1
109341,1
109343,1
109350,1
109356,1
109358,1
109366,1
109370,1
109384,1
109392,3
109394,1
109395,2
109454,1
109457,2
109515,1
109582,1
109642,1
109705,1
109706,1
109763,1
109766,2
109792,1
109824,1
109825,4
109826,1
109884,1
109951,2
110009,2
110136,2
110198,1
110201,1
110240,1
110256,5
110258,1
110441,1
110446,1
110570,1
110571,1
110656,1
110696,2
110698,1
110756,3
110819,1
110821,1
110884,1
110946,1
111132,1
111134,1
111217,3
111324,1
111452,1
111571,1
111576,1
111640,2
111959,1
112015,1
112020,1
112075,1
112211,1
112271,1
112460,1
112462,2
112518,2
112521,1
112522,1
112901,1
112902,1
112964,1
113222,2
113346,1
113347,1
113474,1
113538,1
113729,1
113856,1
113871,2
113981,1
114172,1
114226,1
114233,1
114296,1
114424,1
114486,2
114546,1
114611,2
114670,1
115185,1
115376,1
115436,1
115437,1
115501,1
115556,2
115559,1
115560,1
115752,1
116004,2
116064,2
116211,2
116257,1
116319,2
116381,1
116441,1
116508,1
116571,1
116632,1
116697,1
116823,1
117333,1
117395,2
117460,1
117579,9
117634,9
117758,1
117760,1
118014,1
118206,1
118260,10
118642,1
118723,2
118829,1
118895,1
119084,1
120173,1
121196,1
121340,2
122217,1
123112,1
123640,2
124319,1
124438,15
124702,1
124752,1
125198,1
125200,2
125261,1
125263,1
125323,1
125325,1
125385,1
125387,1
125578,1
125639,1
125640,1
125703,1
125761,1
125764,2
126019,1
126082,1
126145,1
126225,1
126655,1
128591,2
130550,1
130554,1
130891,1
131058,2
131059,1
131074,1
131076,1
131115,1
131123,1
131186,1
131441,1
131514,2
131559,1
131565,1
131692,1
131755,1
131882,1
131941,1
131944,1
132000,1
132003,1
132004,1
132067,2
132130,1
132147,19
132156,19
132219,1
21462,2
34011,13
99765,20
99767,38
99813,18
99868,9
99989,6
100040,14
100047,2
100096,6
102266,6
103547,2
103552,1
108504,1
108981,1
108993,9
108994,12
118488,2
118489,5
118545,1
118546,6
119178,1
119179,1
119180,4
125374,3
125375,10
129635,2
129640,1
129641,3
129642,1
129651,1
129710,2
132439,2
132441,1
132442,2
133108,3
133110,2
133111,2
133112,9
133113,6
133114,3
133115,6
133116,21
133160,8
133171,1
133232,2
4343,5
21456,1
23609,1
34007,12
70892,1
84884,5
99754,61
99801,17
99855,10
99977,4
99978,1
100026,16
100033,2
100082,6
102252,6
103532,5
103535,1
107187,3
107233,1
107354,1
107360,1
107413,1
107422,1
107457,1
107481,2
107672,1
107673,1
107733,1
107735,1
107796,1
107856,1
107858,1
107892,1
107893,1
107909,1
107912,1
107919,1
107975,1
107978,1
107979,2
108039,1
108104,1
108166,2
108228,1
108289,1
108292,1
108325,1
108353,1
108415,1
108448,3
108541,1
108600,2
108601,1
108658,1
108660,1
108662,2
108718,1
108720,1
108783,2
108845,1
108910,1
108923,23
108948,1
108950,1
109010,1
109011,1
109135,1
109327,1
109389,2
109473,1
109647,1
109899,2
110091,1
110406,1
110472,1
110532,1
110535,1
110663,1
111109,1
111237,1
111364,1
111423,1
111554,1
112081,2
112190,1
112382,1
112573,1
113916,1
114299,1
114315,1
115513,1
115896,1
115959,1
116022,1
116085,1
116148,1
116461,1
116785,1
116866,1
116908,1
117295,1
117420,1
117481,1
118374,4
118375,2
118431,1
118432,6
119063,9
119206,2
119700,1
121875,1
124579,2
125135,1
125249,15
125823,2
126014,1
126266,1
126328,1
126456,1
126522,1
126584,1
126776,1
126967,1
127030,1
127257,3
127298,2
127904,4
129488,5
129489,1
129490,2
129491,4
129500,2
129518,2
129554,4
130264,1
130838,1
131030,1
132280,8
132296,1
132444,2
132873,1
132938,6
132941,55
132984,1
132985,8
132991,3
15296,1
